hời hợt, nông cạn
cuồng nộ, phẫn nộ
ấm no, no ấm
lí thú, lý thú
vẩu, vổ
thô lỗ, lỗ mãng
rỗng, rỗng không
hưng thịnh, hưng vượng
tàn ác, tàn tệ
chính xác, xác thực
vững, vững vàng
đương chức, đương nhiệm
khuất tất, mờ ám
mau chóng, nhanh chóng
quỉ quái, quái quỷ
tỉnh bơ, tỉnh queo
gian trá, gian xảo
thẳng, thẳng băng
hậu hĩ, hậu hĩnh
màu mỡ, phì nhiêu
khô, khô khan
thành tâm, thực tình
độc nhất, độc nhất vô nhị
bươm, tươm
ác độc, độc ác
kĩ càng, tỷ mỉ
đặc, kín
khảng khái, khẳng khái
tối tăm, tối dạ
khoả thân, nuy
nghèo khó, nghèo túng
man trá, xảo quyệt
nhạt nhẽo, nhạt thếch
tha thiết, khẩn thiết
thanh vắng, thanh u
tột cùng, tột đỉnh
lớn, to
bạc, tệ
bất minh, mờ ám
bồn chồn, thắc thỏm
tí xíu, tí ti
chây lười, lười nhác
chung thuỷ, thuỷ chung
lẹ, mau
tràn đầy, tràn ngập
kĩ tính, kỹ tính
đơn côi, trơ trọi
cay đắng, đắng cay
hiểm yếu, xung yếu
nham hiểm, hiểm độc
thanh thản, thảnh thơi
nhơ nhớp, nhơ nhuốc
nhẹ bỗng, nhẹ tênh
kỳ diệu, thần diệu
tỉ mỉ, tỷ mỉ
dị thường, khác thường
bạc bẽo, tệ bạc
gan góc, can đảm
diệu kì, kỳ diệu
ma lanh, tinh ranh
khủng khiếp, kinh khủng
nóng vội, nôn nóng
bi thảm, bi thương
nhỡ, vừa
diệu kì, thần diệu
đờ đẫn, thờ thẫn
nguy nan, nguy ngập
đơ, đừ
kỹ, tỷ mỉ
teo tóp, quắt queo
nhạt, lợt
um, rầm
quái ác, tai quái
phiền phức, phiền toái
gian giảo, xảo quyệt
nhàu, nhầu
bất hợp pháp, phi pháp
bạc bẽo, bội bạc
vô địch, vô song
keo kiệt, đá
kĩ lưỡng, kỹ
chán chường, chán ngán
lừng lững, sừng sững
chua cay, sâu cay
thơ thới, thư thái
quả cảm, dũng cảm
thạo, thuần thục
tí, tí tẹo
huyền diệu, thần kì
rực rỡ, rạng rỡ
bất nhã, khiếm nhã
tài ba, tài hoa
tả tơi, xơ xác
cụt lủn, cụt ngủn
kĩ, tỉ mỉ
cơ cực, cùng cực
đôn hậu, hồn hậu
đần độn, ngu si
ngây ngất, ngất ngây
lắm, ối
chăm bẳm, chằm chằm
dang dở, dở dang
thẳng, ngay
mới tinh, mới toanh
kiêu căng, kiêu ngạo
thông thái, uyên thâm
chắc, rắn chắc
khờ, dại
lẻ, linh
kì diệu, kỳ diệu
quạnh, quạnh hiu
bừa, bừa bãi
đê mê, mê man
bần thần, đờ đẫn
xinh xắn, xinh xẻo
ngà ngà, chếnh choáng
kì cục, kì quặc
kiên nhẫn, nhẫn nại
om, om sòm
tương tự, na ná
ướt rượt, ướt sũng
thâm trầm, trầm lặng
cay chua, sâu cay
huyền diệu, kì diệu
chệch, lệch
đủng đỉnh, thủng thẳng
thành tâm, thật tình
giảo quyệt, man trá
hiểm, nguy hiểm
vững dạ, vững tâm
chất ngất, ngất nghểu
kỳ diệu, tuyệt diệu
quỷ quái, tai ác
chếnh choáng, chuếnh choáng
chí tử, trí mạng
tĩnh lặng, yên lặng
tối, tối tăm
le te, xăng xái
nhàn nhã, thanh nhàn
lờ mờ, tù mù
đê mê, mê mẩn
cùng quẫn, túng quẫn
cấp bách, cấp thiết
bơ phờ, phờ phạc
mù, khiếm thị
ngang ngược, ngạo ngược
mẫm, mập
ấm êm, êm ấm
om, rùm
can đảm, dũng cảm
bình thường, thường nhật
hoang, hoang phí
lỏng chỏng, lơ thơ
đen tối, mờ ám
lỡ dở, lỡ làng
xinh, xinh xắn
qua loa, sơ sài
có lý, hợp lí
trội, nổi trội
giảo hoạt, xảo quyệt
bê bết, bê tha
gần gũi, gần gụi
dốt, dốt nát
đê mê, mê mệt
gọn gàng, gọn ghẽ
khiếp, kinh
chuệch choạc, chệch choạc
xấc, xấc xược
rét mướt, ấm áp
thanh thản, thư thái
khôi hài, hài hước
bất hạnh, xấu số
mát rợi, mát rượi
yên, im
bạo dạn, mạnh dạn
mảnh dẻ, mảnh mai
bạo tàn, tàn tệ
trầm ngâm, trầm tư
nổi danh, lừng danh
mong manh, phong thanh
phi lí, vô lí
dư dật, dư thừa
có ích, hữu ích
vô bổ, vô dụng
minh mẫn, sáng láng
khoáng đãng, thoáng đãng
lờ mờ, lù mù
gấp, cấp
kì quái, quái dị
hách dịch, hách
dĩ nhiên, đương nhiên
phệ, phị
phấn chấn, hào hứng
hân hoan, hoan hỷ
chu toàn, vẹn toàn
đơn chiếc, neo đơn
bạo tàn, tàn bạo
đen kịt, đen sì
gầy đét, gầy guộc
xúi quẩy, xui
hiếm, hãn hữu
tạp nhạp, tạp nham
thanh bình, yên bình
tiêu cực, thụ động
có lý, hợp lý
trong, trong suốt
ngoằn ngoèo, ngoắt ngoéo
hung dữ, hung hãn
pha tạp, pha trộn
thanh, mảnh
anh dũng, can đảm
móp, tóp
mướt, tướt
chóng vánh, mau chóng
thảm, thê thảm
bợt, nhợt
chân thành, thực tâm
lười biếng, lười nhác
hung hãn, hung tợn
lực lưỡng, vạm vỡ
chăm chắm, chằm chặp
trang nhã, tao nhã
loạng choạng, loạng quạng
chính xác, chuẩn xác
quả quyết, quyết đoán
tuyệt vời, cực
gian xảo, man trá
thanh tĩnh, u tịch
kì dị, kỳ dị
ướt sũng, ướt đầm
chan chứa, tràn trề
thâm, thâm hiểm
cơ cực, khốn cùng
tàn ác, tàn bạo
đểu cáng, đểu giả
tùm, ùm
vắng, thưa
đê tiện, hạ tiện
vô dụng, vô ích
lệch lạc, sai lệch
dại, ngộ
thanh thản, thanh thoát
